sample_id,condition,replicate,measurement,operator,run_date
S001,Control,1,49.35,J. Morgan,2026-06-01
S002,Control,2,49.22,S. Chen,2026-06-01
S003,Control,3,49.5,A. Patel,2026-06-01
S004,Control,4,53.16,J. Morgan,2026-06-01
S005,Control,5,49.43,S. Chen,2026-06-01
S006,Control,6,43.26,A. Patel,2026-06-01
S007,Treatment_A,1,65.83,J. Morgan,2026-06-01
S008,Treatment_A,2,62.53,S. Chen,2026-06-01
S009,Treatment_A,3,62.81,A. Patel,2026-06-01
S010,Treatment_A,4,64.64,J. Morgan,2026-06-01
S011,Treatment_A,5,65.28,S. Chen,2026-06-01
S012,Treatment_A,6,70.4,A. Patel,2026-06-01
S013,Treatment_B,1,44.63,J. Morgan,2026-06-01
S014,Treatment_B,2,42.44,S. Chen,2026-06-01
S015,Treatment_B,3,39.05,A. Patel,2026-06-01
S016,Treatment_B,4,37.94,J. Morgan,2026-06-01
S017,Treatment_B,5,42.99,S. Chen,2026-06-01
S018,Treatment_B,6,47.24,A. Patel,2026-06-01
S019,Treatment_C,1,78.25,J. Morgan,2026-06-01
S020,Treatment_C,2,77.36,S. Chen,2026-06-01
S021,Treatment_C,3,81.19,A. Patel,2026-06-01
S022,Treatment_C,4,69.28,J. Morgan,2026-06-01
S023,Treatment_C,5,76.13,S. Chen,2026-06-01
S024,Treatment_C,6,80.94,A. Patel,2026-06-01
S025,Control,1,53.93,S. Chen,2026-06-05
S026,Control,2,48.92,A. Patel,2026-06-05
S027,Control,3,51.69,J. Morgan,2026-06-05
S028,Control,4,51.12,S. Chen,2026-06-05
S029,Control,5,53.52,A. Patel,2026-06-05
S030,Control,6,44.99,J. Morgan,2026-06-05
S031,Treatment_A,1,67.13,S. Chen,2026-06-05
S032,Treatment_A,2,55.67,A. Patel,2026-06-05
S033,Treatment_A,3,49.59,J. Morgan,2026-06-05
S034,Treatment_A,4,60.66,S. Chen,2026-06-05
S035,Treatment_A,5,58.96,A. Patel,2026-06-05
S036,Treatment_A,6,68.82,J. Morgan,2026-06-05
S037,Treatment_B,1,44.66,S. Chen,2026-06-05
S038,Treatment_B,2,37.12,A. Patel,2026-06-05
S039,Treatment_B,3,45.39,J. Morgan,2026-06-05
S040,Treatment_B,4,37.99,S. Chen,2026-06-05
S041,Treatment_B,5,41.66,A. Patel,2026-06-05
S042,Treatment_B,6,40.82,J. Morgan,2026-06-05
S043,Treatment_C,1,78.69,S. Chen,2026-06-05
S044,Treatment_C,2,82.91,A. Patel,2026-06-05
S045,Treatment_C,3,81.83,J. Morgan,2026-06-05
S046,Treatment_C,4,80.1,S. Chen,2026-06-05
S047,Treatment_C,5,81.9,A. Patel,2026-06-05
S048,Treatment_C,6,80.87,J. Morgan,2026-06-05
S049,Control,1,47.18,A. Patel,2026-06-09
S050,Control,2,46.77,J. Morgan,2026-06-09
S051,Control,3,47.89,S. Chen,2026-06-09
S052,Control,4,52.25,A. Patel,2026-06-09
S053,Control,5,48.87,J. Morgan,2026-06-09
S054,Control,6,60.51,S. Chen,2026-06-09
S055,Treatment_A,1,59.49,A. Patel,2026-06-09
S056,Treatment_A,2,57.96,J. Morgan,2026-06-09
S057,Treatment_A,3,68.23,S. Chen,2026-06-09
S058,Treatment_A,4,71.82,A. Patel,2026-06-09
S059,Treatment_A,5,66.78,J. Morgan,2026-06-09
S060,Treatment_A,6,68.6,S. Chen,2026-06-09
S061,Treatment_B,1,47.71,A. Patel,2026-06-09
S062,Treatment_B,2,41.62,J. Morgan,2026-06-09
S063,Treatment_B,3,36.31,S. Chen,2026-06-09
S064,Treatment_B,4,39.87,A. Patel,2026-06-09
S065,Treatment_B,5,45.81,J. Morgan,2026-06-09
S066,Treatment_B,6,36.23,S. Chen,2026-06-09
S067,Treatment_C,1,78.2,A. Patel,2026-06-09
S068,Treatment_C,2,79.52,J. Morgan,2026-06-09
S069,Treatment_C,3,76.11,S. Chen,2026-06-09
S070,Treatment_C,4,82.34,A. Patel,2026-06-09
S071,Treatment_C,5,81.48,J. Morgan,2026-06-09
S072,Treatment_C,6,91.93,S. Chen,2026-06-09
S073,Treatment_A,1,,A. Patel,2026-06-14
S074,Treatment_B,2,not_recorded,J. Morgan,2026-06-14
S075,,3,55.21,S. Chen,2026-06-14
S076,Treatment_D,4,61.44,A. Patel,2026-06-14
S077,Control,two,49.83,J. Morgan,2026-06-14
S078,Treatment_C,7,82.17,S. Chen,2026-06-14
S079,Control,5,-12.4,A. Patel,2026-06-14
S080,Treatment_B,6,44.02,J. Morgan,14/06/2026
